전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),위도,경도
1951,원당,Wondang,03호선,316,元堂,元堂,37.6026594619533,126.697919747096
1956,정발산,Jeongbalsan,03호선,311,鼎鉢山,鼎鉢山,37.67193317670881,126.78651327978358
1953,대곡,Daegok,03호선,314,大谷,大谷,35.8095726496598,128.512766290689
1763,수리산,Surisan,04호선,445,修理山,スリサン,37.3505579695805,126.92563095069
1755,한대앞,Hanyang Univ. at Ansan,04호선,449,??大?,ハンデアプ,37.309429480381965,126.85402320176591
0429,신용산,Sinyongsan,04호선,429,新?山,シニョンサン,37.5292591489375,126.967965039183
1451,경마공원,Seoul Racecourse Park,04호선,436,??公?,キョンマゴンウォン,37.4439629881231,127.007838042533
1452,대공원,Seoul Grand Park,04호선,437,首?大公?,テゴンウォン,37.4360557449009,127.006752481821
1455,인덕원,Indeogwon,04호선,440,仁德院,インドグォン,37.4014941709597,126.976679855187
0428,삼각지,Samgakji,04호선,428,三角地,サムガクチ,37.5344393447708,126.972922951307
0427,숙대입구,Sookmyung Women`s Univ.,04호선,427,淑明女子大?(葛月),スクテイック,37.5445952301115,126.972118127373
0415,미아,Mia,04호선,415,?阿(首???大?),ミア,37.61327836400571,127.03008663628454
0423,충무로,Chungmuro,04호선,423,忠武路,チュンムロ,37.56139658395457,126.99414960395544
0416,미아사거리,Miasageori,04호선,416,?阿十字路口,ミアサゴリ,37.61327836400571,127.03008663628454
0419,한성대입구,Hansung Univ.,04호선,419,?城大?,ハンソンデイック,37.58842461354086,127.00601781685579
0421,동대문,Dongdaemun,04호선,421,?大?,トンデムン,37.5616038910656,127.06370373106944
0424,명동,Myeong-dong,04호선,424,明洞,ミョンドン,37.56096526943837,126.98640235001736
1756,중앙,Jungang,04호선,450,中央,チュンアン,37.31599451967913,126.83883035405907
1752,대야미,Daeyami,04호선,446,大夜味,テヤミ,37.327965125951,126.916897519557
1751,산본,Sanbon,04호선,444,山本,サンボン,37.3580193085257,126.933046329836
0412,창동,Chang-dong,04호선,412,?洞,チャンドン,37.6485426057036,127.03465609756
0422,동대문역사문화공원,Dongdaemun History  Culture Park,04호선,422,?大??史文化公?,トンデムンヨクサムンファゴンウォン,37.56566440553802,127.00900417014896
1453,과천,Gwacheon,04호선,438,果川,クァチョン,37.4265047272927,126.989868044926
0430,이촌,Ichon,04호선,430,二村,イチョン,37.52241291408466,126.97354382085399
1454,정부과천청사,Government Complex Gwacheon,04호선,439,政府果川?舍,チョンブ·クァチョンチョンサ,37.4265047272927,126.989868044926
1758,초지,Choji,04호선,452,草芝,チョジ,37.3204403767323,126.80647314589804
1757,고잔,Gojan,04호선,451,古?,コジャン,37.31599451967913,126.83883035405907
1759,안산,Ansan,04호선,453,安山,アンサン,37.32685867641246,126.7892163493839
0411,노원,Nowon,04호선,411,芦原,ノウォン,37.61500552731744,127.06568946412851
0431,동작,Dongjak,04호선,431,?雀(?忠院),トンジャク,37.47656223234824,126.98155858357366
0433,사당,Sadang,04호선,433,舍堂,サダン,37.47656223234824,126.98155858357366
0434,남태령,Namtaeryeong,04호선,434,南泰?,ナムテリョン,37.4642499558525,126.989085267707
0420,혜화,Hyehwa,04호선,420,惠化,ヘファ,37.58204391787134,127.00194500977393
1450,선바위,Seonbawi,04호선,435,立岩,ソンバウィ,37.451747988798516,127.00222869400723
0432,총신대입구,Chongshin Univ.,04호선,432,?神大?,チョンシンデイック,37.4867995957995,126.982211871752
0418,성신여대입구,Sungshin Women`s Univ.,04호선,418,?信女子大?(敦岩),ソンシンヨデイック,37.59296812939267,127.0171260607647
1753,반월,Banwol,04호선,447,半月,パヌォル,37.3123817631801,126.90382444207
1754,상록수,Sangnoksu,04호선,448,常??,サンロッス,37.30285235924208,126.8666056400078
0417,길음,Gireum,04호선,417,吉音,キルム,37.603394782316634,127.02506019737066
0413,쌍문,Ssangmun,04호선,413,??,サンムン,37.6485426057036,127.03465609756
0410,상계,Sanggye,04호선,410,上溪,サンゲ,37.6563403513278,127.063449137455
1760,신길온천,Neunggil,04호선,454,新吉?泉,シンギル·オンチョン,37.33737450574518,126.76752183250063
0409,불암산,Buramsan,04호선,409,佛岩山,プラムサン,37.67021773630595,127.07906662027122
0408,별내별가람,Byeollae Byeolgaram,04호선,408,別內星江,ピョルネビョルガラム,37.6678462120372,127.116241994779
0406,오남,Onam,04호선,406,梧 南,オナム,37.7051635201214,127.191104897113
0425,회현,Hoehyeon,04호선,425,??(南大?市?),フェヒョン,37.55876114587941,126.9784372569283
1457,범계,Beomgye,04호선,442,凡溪,ポムゲ,37.3897837540429,126.950783269518
1761,정왕,Jeongwang,04호선,455,正往,チョンワン,37.351701334544885,126.74335018635819
1458,금정,Geumjeong,04호선,443,衿井,クムジョン,35.22964948660202,129.08942537773808
1456,평촌,Pyeongchon,04호선,441,坪村,ピョンチョン,37.39423950914369,126.9638080221341
0405,진접,Jinjeop,04호선,405,榛接,チンジョプ,37.7199083469452,127.203247263047
1762,오이도,Oido,04호선,456,?耳?,オイド,37.36170269464333,126.73840352940697
0426,서울역,Seoul Station,04호선,426,首?站,ソウルヨク,37.55597933890212,126.97209238331357
0414,수유,Suyu,04호선,414,水逾(江北??),スユ,37.63788539420793,127.02550910860451
2518,화곡,Hwagok,05호선,517,禾谷,ファゴク,37.5416507925709,126.840455026335
2566,하남검단산,Hanam Geomdansan,05호선,558,河南黔丹山,ハナムゴムダンサン,37.5398032640088,127.223219337317
2565,하남시청,Hanam City Hall,05호선,557,河南市?,ハナムシチョン,37.5419775122576,127.206298162203
2562,강일,Gangil,05호선,554,江一,カンイル,37.5574259795986,127.175680183486
2561,마천,Macheon,05호선,P555,?川,マチョン,37.4950381629493,127.152859864985
2559,개롱,Gaerong,05호선,P553,??,ケロン,37.497968278388235,127.13507959838425
2558,오금,Ogeum,05호선,P552,梧琴,オグム,37.5021388575469,127.127953219596
2556,올림픽공원,Olympic Park,05호선,P550,?林匹克公?,オリンピックゴンウォン,37.5163389870117,127.130963675401
2555,둔촌동,Dunchon-dong,05호선,P549,遁村洞,トゥンチョンドン,37.52765684247226,127.13621464981398
2553,고덕,Godeok,05호선,552,高德,コドク,37.55504766830918,127.15416500963447
2552,명일,Myeongil,05호선,551,明逸,ミョンイル,37.5513978958277,127.14404374474
2551,굽은다리,Gubeundari,05호선,550,曲?,クブンダリ,37.54551759022203,127.14288387331297
2550,길동,Gil-dong,05호선,549,吉洞,キルトン,37.5378264874159,127.140021295948
2549,강동,Gangdong,05호선,548,江?,カンドン,37.5385112120297,127.12392845044
2547,광나루,Gwangnaru,05호선,546,?渡口,クァンナル,37.5452991715677,127.103521464507
2545,군자,Gunja,05호선,544,君子,クンジャ,37.557151488837924,127.0795106156054
2544,장한평,Janghanpyeong,05호선,543,??坪,チャンハンピョン,37.5616038910656,127.06370373106944
2542,마장,Majang,05호선,541,??,マジャン,37.5661389565959,127.042984855663
2541,왕십리,Wangsimni,05호선,540,往十里,ワンシムニ,37.561268363317176,127.03710337610202
2540,행당,Haengdang,05호선,539,杏堂,ヘンダン,37.561268363317176,127.03710337610202
2539,신금호,Singeumho,05호선,538,新金湖,シングムホ,37.55447619249223,127.02049316578315
2537,동대문역사문화공원,Dongdaemun History  Culture Park,05호선,536,?大??史文化公?,トンデムンヨクサムンファゴンウォン,37.56566440553802,127.00900417014896
2536,을지로4가,Euljiro 4(sa)-ga,05호선,535,乙支路四街,ウルチロサガ,37.5666405038268,126.997632059113
2535,종로3가,Jongno 3(sam)-ga,05호선,534,?路三街,チョンノサムガ,37.570420844523,126.992153252476
2534,광화문,Gwanghwamun,05호선,533,光化?,クァンファムン,37.57164860977568,126.97642427981408
2532,충정로,Chungjeongno,05호선,531,忠正路,チュンジョンノ,37.56042867918723,126.96303964820936
2530,공덕,Gongdeok,05호선,529,孔德,コンドク,37.5445416897534,126.951451177648
2526,신길,Singil,05호선,525,新吉,シンギル,37.51678703217714,126.91836721069228
2524,영등포구청,Yeongdeungpo-gu Office,05호선,523,永登浦??,ヨンドゥンポグチョン,37.5258305311402,126.89667739939
2520,신정,Sinjeong,05호선,519,新亭,シンジョン,37.5202231231721,126.852889567642
2548,천호,Cheonho,05호선,547,千戶,チョンホ,37.5385112120297,127.12392845044
2519,까치산,Kkachisan,05호선,518,喜?山,カチサン,37.5322306724471,126.846444264065
2538,청구,Cheonggu,05호선,537,?丘,チョング,37.5609165488093,127.014165812912
2517,우장산,Ujangsan,05호선,516,雨씉山,ウジャンサン,37.54881618721654,126.83632627213518
2522,오목교,Omokgyo,05호선,521,梧木?,オモッキョ,37.5245340839144,126.875307312696
2521,목동,Mok-dong,05호선,520,木洞,モクトン,37.5245340839144,126.875307312696
2514,송정,Songjeong,05호선,513,松亭,ソンジョン,35.13749210013527,126.7915362644601
2525,영등포시장,Yeongdeungpo Market,05호선,524,永登浦市?,ヨンドゥンポシジャン,37.522709383885,126.905179566968
2512,개화산,Gaehwasan,05호선,511,?花山,ケファサン,37.5725371505293,126.806814314979
2513,김포공항,Gimpo Intl. Airport,05호선,512,金浦机?,キンポゴンハン,37.56196757232288,126.80191361988808
2516,발산,Balsan,05호선,515,?山,パルサン,37.558677743241596,126.83773640693936
